movie_title,character_name,cornell_character,actor_name,cast_order,actor_id
15 minutes,Stephen Geller,STEPHEN GELLER,Tygh Runyan,27,55591
15 minutes,News Stand Vendor,VENDOR,Ritchie Coster,29,13939
2001: a space odyssey,Dr. David Bowman,BOWMAN,Keir Dullea,0,245
2001: a space odyssey,Dr. Frank Poole,POOLE,Gary Lockwood,1,246
2001: a space odyssey,Dr. Heywood Floyd,FLOYD,William Sylvester,2,247
2001: a space odyssey,HAL 9000 (voice),HAL,Douglas Rain,3,253
2001: a space odyssey,Dr. Andrei Smyslov,SMYSLOV,Leonard Rossiter,5,249
2001: a space odyssey,Elena,ELENA,Margaret Tyzack,6,250
2001: a space odyssey,Dr. Roy Michaels,MICHAELS,Sean Sullivan,8,252
2001: a space odyssey,Miller (uncredited),MILLER,Kevin Scott,44,1330820
48 hrs.,Jack Cates,CATES,Nick Nolte,0,1733
48 hrs.,Reggie Hammond,HAMMOND,Eddie Murphy,1,776
48 hrs.,Elaine,ELAINE,Annette O'Toole,2,1734
48 hrs.,Haden,HADEN,Frank McRae,3,1735
48 hrs.,Albert Ganz,GANZ,James Remar,4,1736
48 hrs.,Luther,LUTHER,David Patrick Kelly,5,1737
48 hrs.,Billy Bear,BILLY,Sonny Landham,6,1105
48 hrs.,Ben Kehoe,KEHOE,Brion James,7,591
48 hrs.,Casey,CASEY,Margot Rose,13,1742
48 hrs.,Candy,CANDY,Olivia Brown,15,154141
48 hrs.,Young Cop,YOUNG COP,Todd Allen,16,21484
48 hrs.,Cowboy Bartender,BARTENDER,Peter Jason,25,6916
48 hrs.,Parking Lot Attendant,ATTENDANT,Marcelino Sánchez,28,1132251
48 hrs.,Henry Wong,HENRY,John Hauk,47,1118713
8mm,Tom Welles,WELLES,Nicolas Cage,0,2963
8mm,Max California,MAX,Joaquin Phoenix,1,73421
8mm,Eddie Poole,EDDIE,James Gandolfini,2,4691
8mm,Dino Velvet,DINO,Peter Stormare,3,53
8mm,Daniel Longdale,LONGDALE,Anthony Heald,4,16293
8mm,Amy Welles,AMY,Catherine Keener,6,2229
8mm,Archive Director,DIRECTOR,Luis Oropeza,13,2315424
8mm,Nun,NUN,Fran Bennett,16,1212018
a bucket of blood,Walter Paisley,WALTER,Dick Miller,0,102441
a bucket of blood,Carla,CARLA,Barboura Morris,1,89037
a bucket of blood,Leonard de Santis,LEONARD,Antony Carbone,2,89038
a bucket of blood,Maxwell H. Brock,MAXWELL,Julian Burton,3,89039
a bucket of blood,Art Lacroix,ART,Ed Nelson,4,89040
a bucket of blood,Alice,ALICE,Judy Bamber,7,102651
a bucket of blood,Lou Raby,LOU,Bert Convy,9,40401
a clockwork orange,Alex,ALEX,Malcolm McDowell,0,56890
a clockwork orange,Mr. Alexander,MR. ALEXANDER,Patrick Magee,1,2264
a clockwork orange,Dr. Brodsky,DR. BRODSKY,Carl Duering,2,2272
a clockwork orange,Chief Guard,CHIEF GUARD,Michael Bates,3,2267
a clockwork orange,Dim,DIM,Warren Clarke,4,2268
a clockwork orange,Georgie,GEORGIE,James Marcus,5,2270
a clockwork orange,Catlady,CATLADY,Miriam Karlin,7,2274
a clockwork orange,Deltoid,DELTOID,Aubrey Morris,11,2278
a clockwork orange,Tramp,TRAMP,Paul Farrell,14,2273
a clockwork orange,Prison Governor,GOVERNOR,Michael Gover,15,1231170
a clockwork orange,Dr. Branom,DR. BRANOM,Madge Ryan,17,39033
a clockwork orange,Minister,MINISTER,Anthony Sharp,18,44700
a clockwork orange,Prison Check-in Officer,CHECK-IN,Neil Wilson,41,189298
a hard day's night,John,JOHN,John Lennon,0,10592
a hard day's night,Paul,PAUL,Paul McCartney,1,10215
a hard day's night,George,GEORGE,George Harrison,2,10593
a hard day's night,Ringo,RINGO,Ringo Starr,3,10594
a hard day's night,Grandfather,GRANDFATHER,Wilfrid Brambell,4,10595
a hard day's night,Norm,NORM,Norman Rossington,5,10596
a hard day's night,Shake,SHAKE,John Junkin,6,10597
a hard day's night,T.V. Director,DIRECTOR,Victor Spinetti,7,10598
a hard day's night,Millie,MILLIE,Anna Quayle,8,10599
a hard day's night,Secretary,SECRETARY,Alison Seebohm,14,127266
a hard day's night,Young Boy,BOY,David Janson,15,1212146
a hard day's night,Policeman (uncredited),POLICEMAN,Roger Avon,17,47386
a hard day's night,Simon Marshall (uncredited),SIMON,Kenneth Haigh,27,53817
a hard day's night,Girl at Disco (uncredited),GIRL,Charlotte Rampling,38,44079
a nightmare on elm street,Nancy Thompson,NANCY,Heather Langenkamp,0,5141
a nightmare on elm street,Glen Lantz,GLEN,Johnny Depp,2,85
a nightmare on elm street,Marge Thompson,MARGE,Ronee Blakley,4,13652
a nightmare on elm street,Tina Gray,TINA,Amanda Wyss,5,13656
a nightmare on elm street,Rod Lane,ROD,Jsu Garcia,6,13657
a nightmare on elm street,Sergeant Parker,PARKER,Joseph Whipp,8,13660
a nightmare on elm street 3: dream warriors,Kristen Parker,KRISTEN,Patricia Arquette,0,4687
a nightmare on elm street 3: dream warriors,Nancy Thompson,NANCY,Heather Langenkamp,1,5141
a nightmare on elm street 3: dream warriors,Neil Gordon,NEIL,Craig Wasson,2,62893
a nightmare on elm street 3: dream warriors,Kincaid,KINCAID,Ken Sagoes,4,63915
a nightmare on elm street 3: dream warriors,Taryn,TARYN,Jennifer Rubin,6,56978
a nightmare on elm street 3: dream warriors,Will,WILL,Ira Heiden,8,44816
a nightmare on elm street 3: dream warriors,Max,MAX,Laurence Fishburne,9,2975
a nightmare on elm street 3: dream warriors,Jennifer,JENNIFER,Penelope Sudrow,10,174848
a nightmare on elm street 3: dream warriors,Donald Thompson,THOMPSON,John Saxon,11,11163
a nightmare on elm street 3: dream warriors,Dr. Elizabeth Simms,SIMMS,Priscilla Pointer,12,11793
a nightmare on elm street 3: dream warriors,Lorenzo,LORENZO,Clayton Landey,14,101013
a nightmare on elm street 3: dream warriors,Elaine,ELAINE,Brooke Bundy,15,72157
a nightmare on elm street 4: the dream master,Dan,DAN,Danny Hassel,2,104275
a nightmare on elm street 4: the dream master,Rick,RICK,Andras Jones,3,63918
a nightmare on elm street 4: the dream master,Kristen,KRISTEN,Tuesday Knight,4,63914
a nightmare on elm street 4: the dream master,Alice,ALICE,Lisa Wilcox,6,63917
a nightmare on elm street 4: the dream master,Elaine,ELAINE,Brooke Bundy,7,72157
a nightmare on elm street 4: the dream master,Sheila,SHEILA,Toy Newkirk,9,104277
a nightmare on elm street 4: the dream master,Debbie,DEBBIE,Brooke Theiss,10,104276
a nightmare on elm street 4: the dream master,Nurse,NURSE,Joanna Lipari,19,175806
a nightmare on elm street part 2: freddy's revenge,Freddy Krueger,FREDDY,Robert Englund,0,5139
a nightmare on elm street part 2: freddy's revenge,Jesse Walsh,JESSE,Mark Patton,1,62018
a nightmare on elm street part 2: freddy's revenge,Lisa Webber,LISA,Kim Myers,2,55958
a nightmare on elm street part 2: freddy's revenge,Ron Grady,GRADY,Robert Rusler,3,52306
a nightmare on elm street part 2: freddy's revenge,Kerry,KERRY,Sydney Walsh,9,156925
a nightmare on elm street: the dream child,Alice Johnson,ALICE,Lisa Wilcox,1,63917
a nightmare on elm street: the dream child,Greta Gibson,GRETA,Erika Anderson,2,42882
a nightmare on elm street: the dream child,Mrs. Jordan,MRS. JORDAN,Valorie Armstrong,3,64033
a nightmare on elm street: the dream child,Yvonne,YVONNE,Kelly Jo Minter,5,63046
a nightmare on elm street: the dream child,Dan Jordan,DAN,Danny Hassel,6,104275
a nightmare on elm street: the dream child,Mark Gray,MARK,Joe Seely,8,119475
a nightmare on elm street: the dream child,Jacob,JACOB,Whit Hertford,19,166298
a walk to remember,Jamie Sullivan,JAMIE,Mandy Moore,0,16855
a walk to remember,Landon Carter,LANDON,Shane West,1,81295
a walk to remember,Cynthia Carter,CYNTHIA,Daryl Hannah,3,589
a walk to remember,Belinda,BELINDA,Lauren German,4,37014
a walk to remember,Eric,ERIC,Al Thompson,8,1232540
a walk to remember,Mr. Kelly,MR. KELLY,David Andrews,10,7219
a walk to remember,Luis,LUIS,Xavier Hernandez,12,1749189
affliction,Wade Whitehouse,WADE,Nick Nolte,0,1733
affliction,Margie Fogg,MARGIE,Sissy Spacek,1,5606
affliction,Rolfe Whitehouse,ROLFE,Willem Dafoe,3,5293
affliction,Lillian,LILLIAN,Mary Beth Hurt,4,54782
affliction,Jack Hewitt,JACK,Jim True-Frost,5,108717
affliction,Alma Pittman,ALMA,Marian Seldes,6,41293
affliction,Gordon LaRiviere,LARIVIERE,Holmes Osborne,7,1578
affliction,Jill,JILL,Brigid Tierney,8,146523
affliction,Evan Twombley,TWOMBLEY,Sean McCann,9,17646
affliction,Nick Wickham,NICK,Wayne Robson,10,5897
affliction,J. Battle Hand,HAND,Eugene Lipinski,11,28871
affliction,Chick Ward,CHICK,Tim Post,12,7009
affliction,Lugene Brooks,LUGENE,Sheena Larkin,16,1327147
affliction,Mrs. Gordon,MRS. GORDON,Susan Almgren,24,61947
affliction,Mel Gordon,MEL GORDON,Steve Adams,25,66934
agnes of god,Dr. Martha Louise Livingston,MARTHA,Jane Fonda,0,6352
agnes of god,Sister Agnes,AGNES,Meg Tilly,1,39117
agnes of god,Det. Larry Langevin,LARRY,Winston Rekert,4,92461
agnes of god,Justice Joseph Leveau,LEVEAU,Guy Hoffmann,6,1600350
agnes of god,Monsignor,MONSIGNOR,Gabriel Arcand,7,83183
agnes of god,Eve LeClaire,EVE,Françoise Faucher,8,1177295
agnes of god,Sister Anne,SISTER ANNE,Deborah Grover,11,58803
air force one,President James Marshall,MARSHALL,Harrison Ford,0,3
air force one,Ivan Korshunov,KORSHUNOV,Gary Oldman,1,64
air force one,Alice Marshall,ALICE,Liesel Matthews,4,84093
air force one,Secret Service Agent Gibbs,GIBBS,Xander Berkeley,6,3982
air force one,Major Caldwell,MAJOR CALDWELL,William H. Macy,7,3905
air force one,Defense Secretary Walter Dean,DEAN,Dean Stockwell,8,923
air force one,National Security Advisor Jack Doherty,DOHERTY,Tom Everett,9,140250
air force one,Deputy Press Secretary Melanie Mitchel,SECRETARY,Donna Bullock,11,65740
air force one,White House Aide Thomas Lee,LEE,Spencer Garrett,21,49275
air force one,General Northwood,GENERAL NORTHWOOD,Bill Smitrovich,22,17200
air force one,Chief Mechanic,CHIEF MECHANIC,Brian Libby,43,6580
air force one,Switchboard Operator,SWITCHBOARD,Diana Bellamy,44,157986
airplane ii: the sequel,Bud Kruger / President Reagan,KRUGER,Rip Torn,3,9626
airplane ii: the sequel,The Commissioner,COMMISSIONER,John Dehner,4,82863
airplane ii: the sequel,Simon Kurtz,SIMON,Chad Everett,5,15013
airplane ii: the sequel,Capt. Clarence Oveur,OVEUR,Peter Graves,6,9111
airplane ii: the sequel,Elaine Dickinson,ELAINE,Julie Hagerty,7,14415
airplane ii: the sequel,Ted Striker,TED,Robert Hays,8,14416
airplane ii: the sequel,First Officer Dunn,DUNN,"James A. Watson, Jr",10,27748
airplane ii: the sequel,Joe Seluchi,JOE,Sonny Bono,15,67949
airplane!,Ted Striker,STRIKER,Robert Hays,0,14416
airplane!,Elaine Dickinson,ELAINE,Julie Hagerty,1,14415
airplane!,Dr. Rumack,DR. RUMACK,Leslie Nielsen,2,7633
airplane!,Roger Murdock,MURDOCK,Kareem Abdul-Jabbar,3,14414
airplane!,Captain Clarence Oveur,OVEUR,Peter Graves,5,9111
airplane!,Randy,RANDY,Lorna Patterson,6,14418
airplane!,Captain Rex Kramer,KRAMER,Robert Stack,7,2493
airplane!,Gunderson,GUNDERSON,Jonathan Banks,9,783
airplane!,Paul Carey,CAREY,Craig Berenson,12,174872
airplane!,Mrs. Hammen,MRS. HAMMEN,Lee Bryant,14,160328
airplane!,Lisa Davis,LISA,Jill Whelan,19,173263
airplane!,Young Girl with Coffee,GIRL,Michelle Stacy,23,166120
airplane!,Soldier,SOLDIER,Cyril O'Reilly,28,64224
airplane!,Joey,JOEY,Rossie Harris,35,186759
airplane!,Jack,JACK,Howard Honig,38,157447
airplane!,Shirley,SHIRLEY,Mary Mercier,45,1051115
airplane!,Mrs. Kramer,MRS. KRAMER,Barbara Stuart,53,153692
alien nation,Det. Sgt. Matthew Sykes,SYKES,James Caan,0,3085
alien nation,William Harcourt,HARCOURT,Terence Stamp,2,28641
alien nation,Rudyard Kipling,KIPLING,Kevyn Major Howard,3,8657
alien nation,Cassandra,CASSANDRA,Leslie Bevis,4,63903
alien nation,Fedorchuk,FEDORCHUK,Peter Jason,5,6916
alien nation,Det. Bill Tuggle,TUGGLE,Roger Aaron Brown,8,44054
alien nation,Capt. Warner,WARNER,Francis X. McCarthy,9,100650
alien nation,Trent Porter,PORTER,Brian Thompson,10,2719
aliens,Ripley,RIPLEY,Sigourney Weaver,0,10205
aliens,Newt,NEWT,Carrie Henn,1,10206
aliens,Corporal Hicks,HICKS,Michael Biehn,2,2712
aliens,Burke,BURKE,Paul Reiser,3,781
aliens,Bishop,BISHOP,Lance Henriksen,4,2714
aliens,Private Hudson,HUDSON,Bill Paxton,5,2053
aliens,Lieutenant Gorman,GORMAN,William Hope,6,10207
aliens,Private Vasquez,VASQUEZ,Jenette Goldstein,7,3981
aliens,Sergeant Apone,APONE,Al Matthews,8,10208
aliens,Van Leuwen,VAN LEUWEN,Paul Maxwell,16,748
aliens,Lydecker,LYDECKER,William Armstrong,27,29616
aliens,Simpson,SIMPSON,Mac McDonald,28,33403
all about eve,Margo Channing,MARGO,Bette Davis,0,3380
all about eve,Eve Harrington,EVE,Anne Baxter,1,10606
all about eve,Addison DeWitt,ADDISON,George Sanders,2,3361
all about eve,Karen Richards,KAREN,Celeste Holm,3,10607
all about eve,Bill Sampson,BILL,Gary Merrill,4,10608
all about eve,Lloyd Richards,LLOYD,Hugh Marlowe,5,10609
all about eve,Birdie Coonan,BIRDIE,Thelma Ritter,6,7684
all about eve,Max Fabian,MAX,Gregory Ratoff,7,10610
all about eve,Miss Caswell,MISS CASWELL,Marilyn Monroe,8,3149
all about eve,Girl,GIRL,Randy Stuart,11,109407
all about eve,Pianist,PIANIST,Claude Stroud,17,1948
all the president's men,Carl Bernstein,BERNSTEIN,Dustin Hoffman,0,4483
all the president's men,Bob Woodward,WOODWARD,Robert Redford,1,4135
all the president's men,Harry Rosenfeld,ROSENFELD,Jack Warden,2,5251
all the president's men,Howard Simons,SIMONS,Martin Balsam,3,1936
all the president's men,Deep Throat,DEEP THROAT,Hal Holbrook,4,11066
all the president's men,Ben Bradlee,BRADLEE,Jason Robards,5,4765
all the president's men,Bookkeeper,BOOKKEEPER,Jane Alexander,6,13724
all the president's men,Debbie Sloan,SLOAN,Meredith Baxter,7,13725
all the president's men,Dardis,DARDIS,Ned Beatty,8,13726
all the president's men,Foreign Editor,FOREIGN EDITOR,John McMartin,11,13728
all the president's men,Donald Segretti,SEGRETTI,Robert Walden,12,13729
all the president's men,Dardis' Secretary,SECRETARY,Polly Holliday,26,11715
all the president's men,National Editor,NATIONAL EDITOR,Paul Lambert,28,14507
all the president's men,Judge,JUDGE,Frank Latimore,29,13733
all the president's men,John Mitchell (voice) (uncredited),MITCHELL,John Randolph,92,18649
amadeus,Antonio Salieri,SALIERI,F. Murray Abraham,0,1164
amadeus,Wolfgang Amadeus Mozart,MOZART,Tom Hulce,1,3999
amadeus,Constanze Mozart,CONSTANZE,Elizabeth Berridge,2,4000
amadeus,Emanuel Schikaneder,SCHIKANEDER,Simon Callow,3,4001
amadeus,Leopold Mozart,LEOPOLD,Roy Dotrice,4,4002
amadeus,Katerina Cavalieri,CAVALIERI,Christine Ebersole,5,4003
amadeus,Emperor Joseph II,JOSEPH,Jeffrey Jones,6,4004
amadeus,Count Orsini-Rosenberg,ORSINI-ROSENBERG,Charles Kay,7,138413
amadeus,Parody Commendatore,COMMENDATORE,Kenny Baker,8,130
amadeus,Father Vogler,VOGLER,Richard Frank,15,1213048
amadeus,Archbishop Colloredo,COLLOREDO,Nicholas Kepros,17,162127
amadeus,Lorl,LORL,Cynthia Nixon,21,38024
amadeus,Count Arco,ARCO,Douglas Seale,24,15833
amadeus,Papageno in 'The Magic Flute' (singing voice),PAPAGENO,Brian Kay,60,4792104
american madness,Thomas Dickson,DICKSON,Walter Huston,0,19020
american madness,Matt Brown,MATT,Pat O’Brien,1,3155
american madness,Helen,HELEN,Constance Cummings,3,19022
american madness,Cyril Cluett,CLUETT,Gavin Gordon,4,2927
american madness,Police Inspector,INSPECTOR,Robert Emmett O'Connor,6,10806
american madness,Clark (uncredited),CLARK,Edwin Maxwell,7,13361
american madness,Oscar  (uncredited),OSCAR,Sterling Holloway,8,34759
american madness,Dude Finlay (uncredited),DUDE,Robert Ellis,9,29347
american madness,Sampson (uncredited),SAMPSON,Harry C. Bradley,12,948509
american madness,O'Brien (uncredited),O'BRIEN,Berton Churchill,14,14969
american madness,Charlie (uncredited),CHARLIE,Anderson Lawler,19,1055686
american madness,Mrs. Halligan (uncredited),MRS. HALLIGAN,Tempe Pigott,23,29603
american outlaws,Bank Teller,TELLER,Rhonda Johnson Dents,10,1529017
american pie,Jim Levenstein,JIM,Jason Biggs,0,21593
american pie,Kevin Meyers,KEVIN,Thomas Ian Nicholas,2,21403
american pie,Michelle Flaherty,MICHELLE,Alyson Hannigan,3,21595
american pie,Nadia,NADIA,Shannon Elizabeth,4,21596
american pie,Paul Finch,FINCH,Eddie Kaye Thomas,6,52480
american pie,Steve Stifler,STIFLER,Seann William Scott,7,57599
american pie,Jessica,JESSICA,Natasha Lyonne,9,10871
american pie,Heather,HEATHER,Mena Suvari,10,8211
american pie,Stifler's Mom,STIFLER'S MOM,Jennifer Coolidge,11,38334
american pie,Chuck Sherman,SHERMAN,Chris Owen,12,26999
american pie,Coach Marshall,COACH MARSHALL,Lawrence Pressman,17,6564
american pie,Vicky's Mom,VICKY,Linda Gehringer,33,1394788
american psycho,Patrick Bateman,BATEMAN,Christian Bale,0,3894
american psycho,Jean,JEAN,Chloë Sevigny,4,2838
american psycho,Evelyn Williams,EVELYN,Reese Witherspoon,5,368
american psycho,Courtney Rawlinson,COURTNEY,Samantha Mathis,6,20767
american psycho,Luis Carruthers,CARRUTHERS,Matt Ross,7,11154
american psycho,Donald Kimball,KIMBALL,Willem Dafoe,9,5293
american psycho,Christie,CHRISTIE,Cara Seymour,10,2617
american psycho,Elizabeth,ELIZABETH,Guinevere Turner,11,32030
american psycho,Harold Carnes,CARNES,Stephen Bogaert,12,32031
american psycho,Daisy,DAISY,Monika Meier,13,32032
american psycho,Homeless Man,HOMELESS MAN,Reg E. Cathey,14,38951
american psycho,Victoria,VICTORIA,Marie Dame,16,1147823
american psycho,Mrs. Wolfe,MRS. WOLFE,Patricia Gage,18,103872
an american werewolf in london,David Kessler,DAVID,David Naughton,0,14463
an american werewolf in london,Nurse Alex Price,ALEX,Jenny Agutter,1,14464
an american werewolf in london,Jack Goodman,JACK,Griffin Dunne,2,2171
an american werewolf in london,Chess Player,CHESS PLAYER,Brian Glover,5,14468
an american werewolf in london,Benjamin,BENJAMIN,Colin Fernandes,15,1660002
an american werewolf in london,Woman in Zoo,WOMAN,Elizabeth Bradley,35,201499
an american werewolf in paris,Andy McDermott,ANDY,Tom Everett Scott,0,16857
an american werewolf in paris,Serafine Pigot,SERAFINE,Julie Delpy,1,1146
an american werewolf in paris,Amy Finch,AMY,Julie Bowen,4,31171
an american werewolf in paris,Claude,CLAUDE,Pierre Cosso,5,2086
an american werewolf in paris,Chief Bonnet,CHIEF,Maria Machado,7,39061
an american werewolf in paris,Inspector LeDuc,LEDUC,Tom Novembre,8,24454
an officer and a gentleman,Zack Mayo,ZACK,Richard Gere,0,1205
an officer and a gentleman,Paula Pokrifki,PAULA,Debra Winger,1,26513
an officer and a gentleman,Sergeant Emil Foley,FOLEY,Louis Gossett Jr.,2,20959
an officer and a gentleman,Sid Worley,SID,David Keith,3,18181
an officer and a gentleman,Byron Mayo,BYRON,Robert Loggia,4,1162
an officer and a gentleman,Lynette Pomeroy,LYNETTE,Lisa Blount,5,27539
an officer and a gentleman,Casey Seeger,CASEY,Lisa Eilbacher,6,779
an officer and a gentleman,Perryman,PERRYMAN,Harold Sylvester,7,27540
an officer and a gentleman,Esther Pokrifiki,ESTHER,Grace Zabriskie,9,6465
an officer and a gentleman,Joe Pokrifki,JOE,Victor French,11,83453
anastasia,Anastasia (voice),ANASTASIA,Meg Ryan,0,5344
anastasia,Vladimir (voice),VLADIMIR,Kelsey Grammer,2,7090
anastasia,Rasputin (voice),RASPUTIN,Christopher Lloyd,3,1062
anastasia,Bartok (voice),BARTOK,Hank Azaria,4,5587
anastasia,Sophie (voice),SOPHIE,Bernadette Peters,5,40389
anastasia,Czar Nicholas / Servant / Rev. Soldier / Ticket Agent (voice),NICHOLAS,Rick Jones,8,77355
annie hall,Alvy Singer,ALVY,Woody Allen,0,1243
annie hall,Annie Hall,ANNIE,Diane Keaton,1,3092
annie hall,Rob,ROB,Tony Roberts,2,10555
annie hall,Allison,ALLISON,Carol Kane,3,10556
annie hall,Tony Lacey,TONY,Paul Simon,4,10557
annie hall,Robin,ROBIN,Janet Margolin,6,10558
annie hall,Duane Hall,DUANE,Christopher Walken,8,4690
annie hall,Aunt Tessie,TESSIE,Rashel Novikoff,17,940121
annie hall,Navy Officer,OFFICER,Mark Lenard,29,1820
annie hall,Actor Boy Friend,ACTOR,John Glover,31,5589
annie hall,Actress in Rehearsal,ACTRESS,Robin Mary Paris,46,2590637
annie hall,School Teacher,TEACHER,Gary Allen,69,129665
antitrust,Milo Hoffman,MILO,Ryan Phillippe,0,11864
antitrust,Lisa Calighan,LISA,Rachael Leigh Cook,1,38581
antitrust,Gary Winston,GARY,Tim Robbins,2,504
antitrust,Alice Poulson,ALICE,Claire Forlani,3,4174
antitrust,Lyle Barton,BARTON,Richard Roundtree,4,6487
antitrust,Larry Banks,LARRY,Tygh Runyan,5,55591
antitrust,Phil Grimes,PHIL,Ned Bellamy,6,2141
antitrust,Redmond Schmeichel,REDMOND,Tyler Labine,7,51383
antitrust,Teddy Chin,TEDDY,Yee Jee Tso,8,61541
antitrust,Brian Bissel,BRIAN,Nate Dushku,9,61542
antitrust,Bob Shrot,SHROT,Douglas McFerran,10,61540
antitrust,Randy Sheringham,RANDY,Scott Bellis,11,61543
antitrust,Danny Solskjær,DANNY,David Lovgren,17,61544
antz,Princess Bala (voice),BALA,Sharon Stone,1,4430
antz,Queen (voice),QUEEN,Anne Bancroft,3,10774
antz,Barbatus (voice),BARBATUS,Danny Glover,4,2047
antz,Weaver (voice),WEAVER,Sylvester Stallone,7,16483
antz,Azteca (voice),AZTECA,Jennifer Lopez,8,16866
apocalypse now,Captain Benjamin Willard,WILLARD,Martin Sheen,0,8349
apocalypse now,Chief Phillips,CHIEF,Albert Hall,2,8354
apocalypse now,Lance B. Johnson,LANCE,Sam Bottoms,4,8350
apocalypse now,Colonel Walter Kurtz,COLONEL,Marlon Brando,5,3084
apocalypse now,Lieutenant Colonel Bill Kilgore,KILGORE,Robert Duvall,6,3087
apocalypse now,"Jerry, Civilian",CIVILIAN,Jerry Ziesmer,10,8346
apocalypse now,Lieutenant Richard M. Colby,COLBY,Scott Glenn,11,349
apocalypse now,Mike from San Diego,MIKE,Kerry Rossall,13,1402117
apocalypse now,Supply Sergeant,SERGEANT,Tom Mason,14,80874
apocalypse now,Roxanne Sarrault,ROXANNE,Aurore Clément,18,9893
apocalypse now,Soldier in Trench,SOLDIER,Jack Thibeau,19,14320
apocalypse now,Lieutenant Carlsen,LIEUTENANT,Glenn Walken,20,1532851
apocalypse now,Agent,AGENT,Bill Graham,23,65553
apocalypse now,Captain Benjamin L. Willard (voice) (uncredited),CAPTAIN,Joe Estevez,35,97823
apocalypse now,Gaston de Marais (Long Version),GASTON,Frank Villard,37,145073
arcade,Alex Manning,ALEX,Megan Ward,0,64999
arcade,Nick,NICK,Peter Billingsley,1,12708
arcade,Difford,DIFFORD,John de Lancie,2,11077
arcade,Stilts,STILTS,Seth Green,3,13922
arcade,Laurie,LAURIE,A.J. Langer,5,157904
arcade,Greg,GREG,Bryan Dattilo,6,1218564
arcade,Boy,BOY,Humberto Ortiz,9,172639
arcade,Albert,ALBERT,Norbert Weisser,10,6701
arctic blue,Ben Corbett,CORBETT,Rutger Hauer,0,585
arctic blue,Eric Desmond,ERIC,Dylan Walsh,1,21043
arctic blue,Anne Marie,ANNE MARIE,Rya Kihlstedt,2,58724
arctic blue,Wilder,WILDER,Richard Bradford,3,1272
arctic blue,Meyerling,MEYERLING,Kevin Cooney,4,25711
arctic blue,Lemalle,LEMALLE,Johnny Cuthbert,5,592872
arctic blue,Mitchell,MITCHELL,John 'Bear' Curtis,6,1237724
arctic blue,Arthur Neff,NEFF,Stephen E. Miller,7,75467
arctic blue,Earl Kenai,KENAI,Michael Lawrenchuk,9,1313853
as good as it gets,Melvin Udall,MELVIN,Jack Nicholson,0,514
as good as it gets,Carol Connelly,CAROL,Helen Hunt,1,9994
as good as it gets,Simon Bishop,SIMON,Greg Kinnear,2,17141
as good as it gets,Frank Sachs,FRANK,Cuba Gooding Jr.,3,9777
as good as it gets,Beverly Connelly,BEVERLY,Shirley Knight,4,28778
as good as it gets,Spencer Connelly,SPENCER,Jesse James,5,10135
as good as it gets,Jackie Simpson,JACKIE,Yeardley Smith,6,5586
